id,x,y
08wuj8o3ham31,-0.24,-0.93
08xp4nnoj0m31,0.84,-2.75
08z7owik8ul31,4.28,2.51
08zwzq7lh7m31,2.6,2.63
090bhacjt8m31,4.45,0.78
09142t8gqtl31,0.43,-1.88
091pk0vba8m31,4.77,1.51
092a5kk097m31,-0.29,2.66
092cnv0s4ul31,2.19,-2.41
0936zt96w4m31,4.08,1.4
093axf3e1sl31,0,3.74
093ho10octl31,0.55,1.42
093pckpir5m31,3.99,0.79
095224zueyl31,3.67,1.38
09625587m8m31,-1.18,1.87
096p11gfmwl31,0.35,1.07
096qwjn8gwl31,2.51,-4.78
096wxqvchbm31,-1.43,-2.17
097qsb15b5m31,-0.25,3.05
098yp8gky7m31,4.09,2.3
099eok4gn9m31,4.74,1.83
099yggk9l6m31,4.73,1.6
09aa9lhk1nl31,-1.61,-2.34
09b0wz7nowl31,2.01,-0.26
09buyiq8i1m31,-17.19,-1.05
09bx8b5iz8m31,0.89,2.4
09c9ff6qx3m31,-1.38,1.73
09cjrz6zktl31,2.03,-0.72
09e75cj0x1m31,0.46,3.31
09fbqzvngml31,2.23,-0.26
09h9115gp7m31,-1.85,-1.82
09ilch56ull31,-18.02,-0.34
09ilngmqfnl31,2.48,-3.35
09jd4lsyesl31,-16.98,-0.39
09lax335vrl31,-17.13,-0.83
09md3ey9wfm31,2.43,-2.4
09nccme63em31,-16.78,-0.56
09nnydpk81m31,-16.65,-0.44
09penj136wl31,-1.03,-0.54
09puqlsdgsl31,2.38,-4.76
09qb4ckspvl31,-17.66,-0.86
09qll5az7nl31,1.89,-3.36
09quuwji3ol31,0.85,-3.42
09r9ghc4osl31,3.05,-3.36
09rg2mu8c8m31,1.1,3.06
09s3ckyvb7m31,-17.48,-0.3
09s4xv9cq3m31,-17.25,-0.67
09t9nn49lsl31,1.46,-2.56
09tavzadrnl31,2.89,2.42
09ts3i7h6sl31,-17.37,-0.45
09u53kws8ul31,4.45,1.98
09vhklx6zll31,0.9,-2.32
09vyp8gzuam31,2.25,2.51
09wzxcp3d2m31,3.33,0.35
09zp2aibrul31,2.23,-0.34
0a01q5l1q3m31,-3.58,0.2
0a1pkqatsdm31,-3.51,0.16
0a1sbuu7tul31,-3.57,0.19
0a1ud657f6m31,-3.53,0.21
0a2kkto7v1m31,-3.49,0.24
0a2mvhjvvxl31,2.27,-1.51
0a2xgfual7m31,-17.87,-0.14
0a4c00vawnl31,-3.57,0.18
0a4dffvbzzl31,-3.57,0.19
0a4dygyrcul31,-3.52,0.2
0a4jfaqj7xl31,-3.57,0.19
0a6izjvxj5m31,-3.5,0.15
0a6v2w9qp7m31,-3.47,0.13
0a784xf2v1m31,-3.53,0.22
0a8oybhvbul31,-3.57,0.19
0a9905v01nl31,-3.41,0.08
0a9uyqclltl31,-3.54,0.19
0aa1y5scgnl31,-3.55,0.19
0abccwieonl31,-3.54,0.18
0aece3h5etl31,-3.56,0.19
0affvg4wnsl31,-3.57,0.19
0afgwc916am31,-3.57,0.19
0aftz7noedm31,-1.64,-2.72
0ag7k7zga6m31,-3.57,0.19
0age9atkful31,-3.55,0.19
0ah6ha7bo0m31,1.81,-3.13
0ai66nvsl6m31,-3.5,0.17
0ai7u5ry5vl31,-16.72,-1.03
0aig7nfmmsl31,-3.53,0.18
0aiijr73f2m31,-17.03,-1.33
0ajm2zyqx1m31,-3.57,0.2
0ajtanpysem31,-3.57,0.19
0aknurdd0cm31,-0.5,3.14
0akxyrdpitl31,-0.38,3.68
0and28u3hwl31,-17.69,-0.32
0anhy0ic1xl31,-3.54,0.19
0anme6chbwl31,-3.57,0.19
